SNAC ID	ARK ID	TriCo ID	Mntns
85290808	w6n9820p	http://archives.tricolib.brynmawr.edu/agents/people/11148
85289148	w6wx87x7		316
8563091	w6c82qz0	http://archives.tricolib.brynmawr.edu/agents/people/6620	267
85288342	w6fv9b6q		161
9302981	w68m543d	http://archives.tricolib.brynmawr.edu/agents/people/15962	124
85596342	w6md9qk8		1
85727136	w65f9hh6		11
85289632	w6165774		148
28160043	w6zw3s78		109
14777823	w6bv9xp3		111
42201796	w6r525r2	http://archives.tricolib.brynmawr.edu/agents/people/12526	126
85290220	w6jb6xn6		114
85290256	w6hj799d		101
45693157	w6p55q0b	http://archives.tricolib.brynmawr.edu/agents/people/9548	93
47361734	w6gq882n	http://archives.tricolib.brynmawr.edu/agents/people/3269	82
26991682	w6b01gx6	http://archives.tricolib.brynmawr.edu/agents/people/6863	94
85366255	w6j49htj		70
85690241	w65z31h9		8
85311292	w6x16z80		78
85312751	w6ph2gz9		85
85313024	w6xt6kpr		66
85359969	w6wt9jhx		92
85361084	w65v49t0		62
17012007	w6zk9cxf	http://archives.tricolib.brynmawr.edu/agents/people/2935	73
1821202	w6nk4g54	http://archives.tricolib.brynmawr.edu/agents/people/9101	60
85366734	w63z8z1g		45
85366829	w6zx2b7v		7
10043205	w6cr7rz4	http://archives.tricolib.brynmawr.edu/agents/people/9524	81
85378859	w6vj6d7g		2
85620528	w6096wx2		6
85385027	w63s1j4g		61
67118714	w6wr0v4m	http://archives.tricolib.brynmawr.edu/agents/people/9612	35
85389877	w6n69bqr		32
85391488	w6wj3fbd		2
85555670	w6xf1s5t	http://archives.tricolib.brynmawr.edu/agents/people/6672	29
85392783	w6427nc6	http://archives.tricolib.brynmawr.edu/agents/people/4479	37
85394506	w6kx66c3	http://archives.tricolib.brynmawr.edu/agents/people/16316	26
25702881	w6g77m31	http://archives.tricolib.brynmawr.edu/agents/people/9176	27
16476689	w66124pd	http://archives.tricolib.brynmawr.edu/agents/people/9523	19
63882491	w6028wf4	http://archives.tricolib.brynmawr.edu/agents/people/11359	12
85402523	w6hv3dnq		40
73184126	w6jd66gz	http://archives.tricolib.brynmawr.edu/agents/people/8745	25
56228280	w6h14ctn	http://archives.tricolib.brynmawr.edu/agents/people/2923	35
85410868	w63g5dz0	http://archives.tricolib.brynmawr.edu/agents/people/10427	30
3442439	w6sf4z67	http://archives.tricolib.brynmawr.edu/agents/people/2953	23
20994989	w6ht6kfw	http://archives.tricolib.brynmawr.edu/agents/people/2864	19
44495596	w6427ngj	http://archives.tricolib.brynmawr.edu/agents/people/8749	54
57502540	w6dn68k9	http://archives.tricolib.brynmawr.edu/agents/people/2928	65
65278400	w6qj854r		54
85386051	w6md9qck		46
85558894	w6107trk		55
8578951	w6wq14dj	http://archives.tricolib.brynmawr.edu/agents/people/6664	46
85494329	w6b38kp0		42
85501852	w66794np		43
85560461	w6rg6kjz		41
35918349	w68g9ffr	http://archives.tricolib.brynmawr.edu/agents/people/3376	43
85721052	w66r2nv3		44
85564036	w63p2txf		3
85560490	w67j292w		1
55784347	w6jx3293	http://archives.tricolib.brynmawr.edu/agents/people/3217	38
12635601	w6n05bth	http://archives.tricolib.brynmawr.edu/agents/people/9182	39
85562686	w6hv3dtz		34
85567526	w6912v76	http://archives.tricolib.brynmawr.edu/agents/people/1031	32
85558534	w6x74cd2		44
85560501	w6qk87r0		33
85563064	w6w48mwd		26
85591755	w6q924mx		4
74118480	w6058f0z	http://archives.tricolib.brynmawr.edu/agents/people/9522	41
286968	w6cg1kgr		18
33762128	w6n87x9b	http://archives.tricolib.brynmawr.edu/agents/people/7329	20
68324529	w6s1844s	http://archives.tricolib.brynmawr.edu/agents/people/1566	13
85566563	w6xq7wg4		11
